S.No.,Description,Sub Class,Class,Group,Division,Section
1259,Activities of sports clubs,93120,9312,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1260,Other sports activities,93190,9319,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1261,Activities of amusement parks and theme parks,93210,9321,932,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1262,Other amusement and recreation activities n.e.c.,93290,9329,932,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1263,Activities of business and employers membership organisations,94110,9411,941,Activities of membership organizations,Other service activities
1264,Activities of professional membership organizations,94120,9412,941,Activities of membership organizations,Other service activities
1265,Activities of trade unions,94200,9420,942,Activities of membership organizations,Other service activities
1266,Activities of religious organizations,94910,9491,949,Activities of membership organizations,Other service activities
1267,Activities of political organizations,94920,9492,949,Activities of membership organizations,Other service activities
1268,Activities of other membership organizations n.e.c.,94990,9499,949,Activities of membership organizations,Other service activities
1269,Repair and maintenance of computer and peripheral equipment,95111,9511,951,Repair of computers and personal and household goods,Other service activities
1270,"Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals, not mechanically operated",95112,9511,951,Repair of computers and personal and household goods,Other service activities
